customer_id,customer_name,location,customer_age,tenure_months,subscription_type,monthly_spend,total_spend,contract_length,login_frequency,avg_session_duration,support_tickets,complaints,payment_failures,discount_usage,product_usage,last_active_days,customer_satisfaction,previous_upgrades,previous_downgrades,churn_probability_ground_truth,churn
C1000,Aarav Nair,Bengaluru,34,7,Basic,1330.0,9535.33,1 Month,18,12.6,4,1,1,1,Medium,33,2.7,0,0,0.8308,1
C1001,Priya Chatterjee,Mumbai,41,1,Enterprise,18830.0,18531.77,1 Month,24,22.5,4,6,0,1,High,22,4.1,1,0,0.6825,1
C1002,Ananya Sharma,Mumbai,34,8,Pro,3970.0,30643.05,2 Year,9,29.6,1,2,1,0,Medium,9,3.7,0,1,0.3091,0
C1003,Rahul Sharma,Pune,39,59,Pro,4500.0,271412.56,1 Month,12,9.4,4,2,1,0,Medium,1,3.3,1,0,0.1451,0
C1004,Anushka Chopra,Bengaluru,45,29,Basic,990.0,26042.09,1 Year,13,20.1,4,5,0,0,Medium,6,2.0,1,0,0.4895,1
C1005,Kabir Sharma,Bengaluru,40,4,Basic,970.0,3891.63,2 Year,12,21.4,2,1,0,0,Medium,1,1.9,1,0,0.2362,0
C1006,Liam Rodriguez,London,24,1,Basic,1100.0,1090.56,1 Year,12,10.5,3,3,1,0,Medium,12,4.7,0,0,0.5962,1
C1007,Arjun Rao,Mumbai,31,20,Enterprise,18080.0,327373.5,1 Year,18,5.0,2,0,0,1,Medium,7,2.0,0,0,0.099,0
C1008,Isha Deshmukh,Pune,41,16,Pro,4530.0,68880.93,1 Month,14,21.0,6,2,0,0,Medium,0,2.8,1,0,0.3905,0
C1009,Ananya Bhasin,Pune,21,2,Pro,5230.0,10227.43,1 Year,12,7.0,5,2,1,0,Medium,14,3.8,1,0,0.5884,1
C1010,Dev Patel,Pune,38,60,Basic,1050.0,57006.96,1 Month,17,13.8,6,0,4,0,Medium,6,3.8,0,0,0.2866,0
C1011,Meera Deshmukh,Pune,38,18,Enterprise,19190.0,326838.0,1 Month,15,21.8,3,0,0,1,Medium,44,2.2,0,0,0.4079,0
C1012,Rohan Verma,Chennai,60,19,Pro,4590.0,78683.31,1 Month,10,24.6,7,6,0,1,Medium,52,4.4,1,0,0.9144,1
C1013,Diya Patel,Bengaluru,39,35,Basic,1020.0,33585.67,1 Month,20,6.8,2,0,0,1,High,42,4.3,0,0,0.0966,0
C1014,Noah Rodriguez,New York,35,8,Basic,1220.0,10215.03,1 Year,17,50.3,4,1,0,0,Medium,3,2.8,1,0,0.0869,0
C1015,Isha Singh,Delhi NCR,46,15,Basic,1500.0,21781.0,1 Month,14,18.6,4,2,0,0,Medium,1,3.8,0,0,0.3549,0
C1016,Kabir Patel,Pune,32,16,Basic,1260.0,21015.36,1 Year,22,37.7,1,0,0,0,High,21,4.3,0,1,0.01,0
C1017,Anushka Joshi,Bengaluru,36,60,Pro,4680.0,286591.62,2 Year,13,9.1,4,2,0,1,Medium,0,3.0,0,1,0.01,0
C1018,Kabir Chatterjee,Bengaluru,36,3,Basic,990.0,2789.81,1 Year,12,41.0,2,1,0,0,Medium,15,3.7,1,0,0.0981,0
C1019,Sarah Davis,San Francisco,41,26,Basic,1790.0,48425.37,2 Year,22,12.4,3,2,0,0,High,3,4.3,0,0,0.0907,0
C1020,Noah Rodriguez,San Francisco,27,16,Pro,3980.0,60178.47,1 Month,15,25.2,4,3,0,1,Medium,3,3.6,0,1,0.4534,0
C1021,Karan Iyer,Bengaluru,43,34,Basic,700.0,22652.7,1 Year,16,32.1,3,4,0,0,Medium,22,4.0,0,0,0.2466,0
C1022,Noah Moore,London,31,33,Basic,1460.0,45554.39,1 Month,10,9.7,3,0,0,1,Medium,3,2.6,0,0,0.2552,0
C1023,Neha Chatterjee,Pune,54,1,Basic,1170.0,1130.62,1 Year,14,7.5,3,0,0,1,Medium,4,4.2,0,1,0.2487,0
C1024,Karan Chopra,Pune,22,6,Pro,4260.0,23286.36,1 Month,11,22.1,1,1,1,0,Medium,15,3.7,0,0,0.4021,0
C1025,Neha Gupta,Pune,29,4,Pro,4060.0,16604.58,1 Year,14,10.2,2,1,2,1,Medium,5,3.7,0,0,0.3508,0
C1026,Ananya Rao,Bengaluru,21,12,Basic,1760.0,19267.54,1 Month,14,16.5,5,1,0,0,Medium,9,3.2,0,2,0.6601,1
C1027,Kavya Patel,Hyderabad,62,43,Pro,4780.0,199741.09,1 Month,19,76.7,3,1,0,0,Medium,34,4.1,2,0,0.026,0
C1028,Siddharth Agarwal,Delhi NCR,24,1,Pro,4940.0,4497.48,1 Month,17,7.4,0,0,0,1,Medium,1,5.0,0,0,0.1199,0
C1029,Alex Brown,Sydney,42,13,Basic,1250.0,16221.03,1 Month,12,30.3,4,0,0,1,Medium,8,3.8,1,0,0.2909,0
C1030,Daniel Wilson,San Francisco,42,39,Pro,4720.0,178103.15,1 Year,15,15.2,3,2,0,0,Medium,22,3.3,1,0,0.0726,0
C1031,Sneha Bhasin,Mumbai,27,47,Basic,1620.0,68538.94,1 Month,19,14.4,3,1,0,1,Medium,8,3.6,0,0,0.0444,0
C1032,Daniel Martin,London,42,20,Basic,1120.0,21608.92,1 Year,24,9.9,3,4,0,0,High,2,3.8,0,0,0.1419,0
C1033,Priya Kumar,Chennai,26,32,Enterprise,13400.0,409313.0,1 Year,12,36.6,6,2,0,1,Medium,4,4.8,0,0,0.0471,0
C1034,Vikram Gupta,Delhi NCR,28,8,Enterprise,21540.0,178716.49,1 Year,14,38.6,1,0,0,0,Medium,0,4.8,0,0,0.0242,0
C1035,Harper Martin,San Francisco,21,7,Pro,4900.0,33951.75,1 Month,11,43.9,4,2,3,1,Medium,7,3.3,1,0,0.6605,1
C1036,Tanvi Sharma,Mumbai,42,1,Basic,1230.0,1259.62,1 Month,18,68.4,5,0,0,0,Medium,13,2.9,0,0,0.2069,0
C1037,Ava Davis,San Francisco,21,13,Basic,1340.0,16055.97,1 Year,12,5.8,4,1,0,0,Medium,8,3.8,1,0,0.3342,0
C1038,Karan Patel,Mumbai,39,11,Pro,4200.0,42455.69,1 Month,15,13.3,1,1,1,1,Medium,5,3.1,0,0,0.215,0
C1039,Michael Lee,London,34,9,Basic,1210.0,10099.77,1 Month,11,14.9,4,0,0,1,Medium,5,3.1,2,0,0.2703,0
C1040,Tanvi Chatterjee,Bengaluru,51,3,Basic,1160.0,3624.59,2 Year,13,29.7,3,1,0,0,Medium,12,3.8,0,0,0.0692,0
C1041,Meera Chopra,Bengaluru,36,5,Pro,4030.0,18435.5,1 Month,16,34.4,2,0,2,0,Medium,24,4.1,1,0,0.2036,0
C1042,James Martinez,New York,43,5,Basic,1560.0,7585.65,1 Month,19,44.1,3,0,0,0,Medium,1,3.5,0,0,0.1546,0
C1043,Mia Moore,Toronto,40,52,Enterprise,13560.0,642675.94,1 Year,14,20.3,2,2,0,0,Medium,16,3.6,0,0,0.0148,0
C1044,Neha Joshi,Mumbai,35,60,Basic,1910.0,116183.14,2 Year,12,24.2,7,5,0,0,Medium,10,4.4,0,1,0.1799,0
C1045,Karan Chatterjee,Bengaluru,46,1,Pro,5200.0,4980.17,1 Month,12,38.7,1,0,0,0,Medium,14,4.6,0,2,0.2839,0
C1046,Aarav Patel,Chennai,39,4,Basic,670.0,2657.93,2 Year,16,36.3,4,1,0,1,Medium,7,3.1,0,0,0.1651,0
C1047,Neha Patel,Mumbai,44,40,Pro,4320.0,157377.1,1 Year,9,3.1,4,0,3,1,Medium,4,3.1,2,0,0.2208,0
C1048,Michael Martin,London,27,1,Pro,4370.0,4215.85,1 Year,14,17.5,4,4,0,1,Medium,8,3.8,0,0,0.4844,1
C1049,Tanvi Reddy,Pune,40,52,Basic,1320.0,63153.45,1 Month,14,44.0,3,2,1,1,Medium,29,2.1,0,1,0.4585,0
C1050,Karan Kulkarni,Bengaluru,43,9,Enterprise,15040.0,128412.59,1 Year,16,17.4,0,0,2,0,Medium,19,2.8,0,1,0.2069,0
C1051,Charlotte Miller,San Francisco,26,14,Pro,4530.0,58874.67,1 Month,18,23.7,1,0,0,1,Medium,9,2.9,1,0,0.0676,0
C1052,Kavya Deshmukh,Hyderabad,35,26,Enterprise,18080.0,457039.67,1 Month,14,28.2,4,1,1,0,Medium,19,3.5,0,0,0.3527,0
C1053,Ananya Rao,Mumbai,21,6,Enterprise,15920.0,98771.02,1 Month,19,11.4,0,0,0,0,Medium,8,3.3,1,1,0.1002,0
C1054,Arjun Rao,Bengaluru,21,2,Pro,3800.0,7292.93,1 Year,13,9.9,3,1,1,0,Medium,8,2.2,0,0,0.4883,1
C1055,Anushka Bhasin,Bengaluru,35,30,Enterprise,21720.0,674760.83,1 Month,13,21.7,0,0,1,0,Medium,12,3.9,0,0,0.111,0
C1056,Kabir Bhasin,Bengaluru,52,60,Basic,690.0,42072.41,1 Month,12,13.9,5,3,0,0,Medium,5,3.1,0,0,0.2158,0
C1057,Michael Moore,Toronto,52,20,Basic,1340.0,27122.61,2 Year,22,5.2,3,1,2,0,High,18,4.4,0,1,0.1904,0
C1058,Anushka Sharma,Mumbai,33,32,Basic,1440.0,46870.89,1 Month,14,26.9,1,2,0,0,Medium,12,5.0,0,0,0.0698,0
C1059,Sophia Garcia,New York,27,52,Basic,1130.0,59147.91,1 Month,17,16.8,1,0,0,1,Medium,43,3.2,0,1,0.182,0
C1060,Vikram Mehta,Mumbai,44,5,Basic,1220.0,5676.0,1 Month,14,22.5,3,3,0,0,Medium,17,4.8,0,0,0.4347,0
C1061,Aarav Mehta,Delhi NCR,21,8,Basic,1550.0,12719.34,1 Year,14,26.1,7,4,1,1,Medium,7,5.0,0,0,0.5945,1
C1062,Ethan Martinez,New York,32,5,Pro,3940.0,18840.89,1 Month,11,40.3,3,1,0,0,Medium,37,4.9,0,0,0.3432,0
C1063,Harper Jackson,London,29,2,Basic,1020.0,1918.38,1 Year,14,9.5,0,0,0,1,Medium,12,3.7,0,0,0.2141,0
C1064,Vikram Verma,Pune,35,24,Basic,1050.0,25829.05,1 Month,15,28.0,3,1,0,1,Medium,9,4.1,0,0,0.2482,0
C1065,Sarah Wilson,San Francisco,48,3,Pro,5430.0,16169.23,1 Year,11,47.8,3,2,1,1,Medium,12,4.7,0,0,0.2292,0
C1066,Tanvi Agarwal,Pune,21,2,Basic,1590.0,2982.7,1 Year,20,14.6,1,1,0,0,High,12,4.1,1,0,0.107,0
C1067,Rahul Patel,Bengaluru,38,8,Pro,3380.0,27936.49,1 Month,18,22.3,4,2,0,1,Medium,18,3.3,0,0,0.4109,0
C1068,Rohan Joshi,Hyderabad,39,2,Basic,1500.0,2942.48,1 Year,13,28.0,4,2,3,0,Medium,8,5.0,0,0,0.4803,1
C1069,Karan Joshi,Pune,35,4,Enterprise,21370.0,77238.71,1 Month,15,5.7,0,0,0,1,Medium,3,3.5,1,0,0.0719,0
C1070,Meera Patel,Hyderabad,38,2,Pro,5740.0,11239.16,1 Year,14,45.4,5,1,1,0,Medium,16,4.9,0,0,0.2252,0
C1071,Benjamin Martin,Singapore,40,38,Basic,1320.0,52329.97,1 Year,9,34.0,1,0,0,0,Medium,0,3.2,2,1,0.0282,0
C1072,James Wilson,London,37,28,Basic,1190.0,30797.7,1 Month,17,11.6,1,0,0,0,Medium,27,3.1,0,0,0.1713,0
C1073,Aditya Kumar,Hyderabad,21,36,Pro,5420.0,184417.09,1 Month,13,13.5,3,2,0,1,Medium,10,4.0,0,0,0.2644,0
C1074,Rohan Sharma,Hyderabad,27,37,Pro,5060.0,174914.63,1 Year,14,33.0,2,1,0,0,Medium,24,4.4,0,0,0.0231,0
C1075,Karan Rao,Mumbai,50,53,Pro,6300.0,311544.36,1 Month,15,25.0,1,0,0,0,Medium,16,2.8,1,0,0.0705,0
C1076,Rahul Nair,Bengaluru,25,4,Pro,5270.0,19216.29,1 Year,12,14.3,2,0,0,0,Medium,27,3.0,2,0,0.283,0
C1077,Michael Davis,Singapore,36,42,Basic,1250.0,50923.21,1 Year,15,37.0,3,2,0,1,Medium,2,3.7,0,1,0.0662,0
C1078,Siddharth Chatterjee,Chennai,29,14,Basic,850.0,12170.91,1 Month,21,11.9,1,0,2,0,High,8,4.1,2,0,0.1161,0
C1079,Rahul Sharma,Chennai,41,4,Basic,1030.0,3856.36,1 Month,13,17.6,0,0,0,0,Medium,47,5.0,0,2,0.5455,1
C1080,Ava Brown,London,34,20,Enterprise,13470.0,271197.31,1 Month,18,16.1,2,0,0,0,Medium,0,3.6,0,0,0.083,0
C1081,Priya Chatterjee,Bengaluru,41,8,Pro,4330.0,34153.58,1 Month,18,6.4,3,1,0,0,Medium,15,4.2,0,0,0.2492,0
